Alibaba in Blockchain: Integrating Blockchain-based Remittances into Cloud Services,https://hbr.org/product/alibaba-in-blockchain-integrating-blockchain-based-remittances-into-cloud-services/IN1547?sku=IN1547-EPB-ENG,29-Oct-18,Jason P. Davis; Minh Vo; Anne Yang,Innovation & Entrepreneurship
Deutsche Bank: Pursuing Blockchain Opportunities (A),https://hbr.org/product/deutsche-bank-pursuing-blockchain-opportunities-a/817100?sku=819S02-PDF-SPA,11-Apr-17,Lynda M. Applegate; Roman Beck; Christoph Muller-Bloch,Innovation & Entrepreneurship
"Bext360 and the ESG Paradox: Leveraging AI, blockchain, and IoT for Supply-Chain-Level ESG Measurement",https://hbr.org/product/bext360-and-the-esg-paradox-leveraging-ai-blockchain-and-iot-for-supply-chain-level-esg-measurement/TB0696?sku=TB0696-HCB-ENG,31-Dec-22,William E Youngdahl; B. Tom Hunsaker,Management
The Real Business of Blockchain: How Leaders Can Create Value in a New Digital Age,https://hbr.org/product/the-real-business-of-blockchain-how-leaders-can-create-value-in-a-new-digital-age/10292?sku=10292-ABK-ENG,15-Oct-19,David Furlonger; Christophe Uzureau,Technology & Operations
Global Token: Receiving Unclean Audit Opinion Twice on the Blockchain Operations,https://hbr.org/product/global-token-receiving-unclean-audit-opinion-twice-on-the-blockchain-operations/HK1269?sku=HK1269-HCB-ENG,7-Feb-21,Sammy Fung; Tsun-kan Wan,Technology & Operations
Steem versus Hive: Testing Blockchain Governance,https://hbr.org/product/steem-versus-hive-testing-blockchain-governance/822075?sku=822075-EPB-ENG,11-Jan-22,Shikhar Ghosh; Shweta Bagai,Innovation & Entrepreneurship
Axie Infinity: Video Game Meets Blockchain,https://hbr.org/product/axie-infinity-video-game-meets-blockchain/224021?sku=224021-XML-ENG,28-Nov-23,Marco Di Maggio; Wenyao Sha,Management
JD: E-invoice with Blockchain,https://hbr.org/product/jd-e-invoice-with-blockchain/W20197?sku=W20197-PDF-ENG,31-Mar-20,Nina Yan; Jing Chen; Hubert Pun; Yongqin Lei,Strategy & Execution
Blockchain for Managers,https://hbr.org/product/blockchain-for-managers/IES745?sku=IES745-EPB-ENG,14-May-19,Robert Wayne Gregory; Brana Savic,Technology & Operations
Deutsche Bank: Pursuing Blockchain Opportunities (B),https://hbr.org/product/deutsche-bank-pursuing-blockchain-opportunities-b/817101?sku=819S03-HCB-SPA,11-Apr-17,Lynda M. Applegate; Roman Beck; Christoph Muller-Bloch,Innovation & Entrepreneurship
Who Writes the Rules of a Blockchain?,https://hbr.org/2021/07/who-writes-the-rules-of-a-blockchain,23-Jul-21,Jake Ryan,Finance & Accounting
Alibaba in Blockchain: Integrating Blockchain-based Remittances into Cloud Services,https://hbr.org/product/alibaba-in-blockchain-integrating-blockchain-based-remittances-into-cloud-services/IN1547?sku=IN1547-EPB-ENG,29-Oct-18,Jason P. Davis; Minh Vo; Anne Yang,Innovation & Entrepreneurship
Blockchain Could Help Us Reclaim Control of Our Personal Data,https://hbr.org/2017/10/smart-ledgers-can-help-us-reclaim-control-of-our-personal-data,5-Oct-17,Michael Mainelli,Analytics and data science
Mind the gap: Tech-based dispute resolutions in global supply blockchains,https://hbr.org/product/mind-the-gap-tech-based-dispute-resolutions-in-global-supply-blockchains/BH1211?sku=BH1211-XML-ENG,31-Dec-22,Patricia Zivkovic; Denise McCurdy; Mimi Zou; Anjanette H Raymond,Management
Sellers Are Overwhelmed by New Technology,https://hbr.org/2023/08/new-technology-is-overwhelming-sales-teams,22-Aug-23,George Tobias; Craig Riley; Colleen Giblin; Betsy Gregory-Hosler,Sales
Saama Technologies: Growth Through a Focused Vertical Market Strategy,https://hbr.org/product/saama-technologies-growth-through-a-focused-vertical-market-strategy/KE1086?sku=KE1086-HCB-ENG,27-Sep-18,Mohanbir Sawhney; Pallavi Goodman,Sales & Marketing
Saama Technologies: Growth Through a Focused Vertical Market Strategy,https://hbr.org/product/saama-technologies-growth-through-a-focused-vertical-market-strategy/KE1086?sku=KE1086-HCB-ENG,27-Sep-18,Mohanbir Sawhney; Pallavi Goodman,Sales & Marketing
"8 Questions About Using AI Responsibly, Answered",https://hbr.org/2023/05/8-questions-about-using-ai-responsibly-answered,9-May-23,Tsedal Neeley,Technology & Operations
"Bext360 and the ESG Paradox: Leveraging AI, blockchain, and IoT for Supply-Chain-Level ESG Measurement",https://hbr.org/product/bext360-and-the-esg-paradox-leveraging-ai-blockchain-and-iot-for-supply-chain-level-esg-measurement/TB0696?sku=TB0696-HCB-ENG,31-Dec-22,William E Youngdahl; B. Tom Hunsaker,Management
Deutsche Bank: Pursuing Blockchain Opportunities (B),https://hbr.org/product/deutsche-bank-pursuing-blockchain-opportunities-b/817101?sku=819S03-HCB-SPA,11-Apr-17,Lynda M. Applegate; Roman Beck; Christoph Muller-Bloch,Innovation & Entrepreneurship
