"Link","Title","Description","Creation Date","Author","Type"
"https://www.cnbc.com/select/best-credit-cards/","The best credit cards of April 2024","We rounded up the best credit cards that can help you build credit, save on interest charges and earn you over $2,000 in five years.","2019-10-15T05:00:00+0000","Benji Stawski,Alexandria White","article"
"https://www.cnbc.com/blockchain/?page=2","Blockchain","Latest news on blockchain, and how companies are using the technology for more than just cryptocurrencies.","2018-09-26T23:38:35+0000","","website"
"https://www.cnbc.com/industrials/","Industrials","Find the latest news and headlines in the industrial and manufacturing spaces; watch videos and read about current events from CNBC.com.","2012-01-30T01:47:28+0000","","website"
"https://www.cnbc.com/blockchain/#","Blockchain","Latest news on blockchain, and how companies are using the technology for more than just cryptocurrencies.","2018-09-26T23:38:35+0000","","website"
"https://www.cnbc.com/select/credit-card-marketplace/","Credit Card Marketplace","Trying to find the best credit card for your wallet? Use our free tool which allows you to compare cards' rates, rewards and perks.","2022-10-19T18:17:36+0000","","website"
"https://www.cnbc.com/tech-guide/","Tech Guide","Explore the latest tech products and gadgets from Apple, Samsung, Microsoft, Facebook, Google, and more, with pro tips, how to’s, first impressions, reviews, and video.","2017-03-28T16:48:41+0000","","website"
"https://www.cnbc.com/live-audio/","live audio","","2018-11-15T09:58:21-0500","","website"
"https://www.cnbc.com/2024/04/08/stock-market-today-live-updates.html","Dow falls 150 points Tuesday as traders brace for key U.S. inflation report: Live updates","Stocks struggled Tuesday as investors look ahead to the release of key U.S. inflation data.","2024-04-08T22:05:26+0000","Hakyung Kim,Brian Evans","article"
"https://www.cnbc.com/select/credit-monitoring/","Credit Monitoring","Monitoring your credit is an essential part of taking care of your overall financial health. Select offers advice on the best credit monitoring products as well as tips to improve your credit score and protect your identity.","2021-10-01T16:04:34+0000","","website"
"https://www.cnbc.com/select/best-buy-now-pay-later-apps/","Everything you need to know about the most popular buy now, pay later apps","Select reviewed the most popular buy now, pay later apps to help you decide which one is best for your shopping needs.","2021-09-03T19:59:08+0000","Trina Paul","article"
